,Unnamed: 0,event.start,event.end,@timestamp,agent.ephemeral_id,destination.bytes,destination.ip,destination.mac,destination.packets,destination.port,event.duration,event.type,flow.final,flow.id,host.ip,host.mac,network.bytes,network.community_id,network.packets,network.transport,network.type,source.bytes,source.ip,source.mac,source.packets,source.port,Binary
708,214,72,68,4,0,0,0,0,0,122,0,0,0,49,1,1,0,149,0,0,0,0,0,0,0,19,1
709,350,102,96,7,0,0,0,0,0,152,0,0,0,89,1,1,0,22,0,0,0,0,0,0,0,354,1
710,455,131,124,16,0,0,0,0,0,3,0,1,1,39,1,1,0,137,0,0,0,0,0,0,0,572,1
711,596,153,148,29,0,1,0,0,1,39,83,0,0,137,1,1,1,29,1,0,0,0,0,0,0,460,0
712,83,44,42,0,0,0,0,0,0,94,0,0,0,149,1,1,0,121,0,0,0,0,0,0,0,452,1
713,199,69,65,1,0,0,0,0,0,119,0,0,0,74,1,1,0,64,0,0,0,0,0,0,0,355,1
714,596,153,148,29,0,1,0,0,1,127,94,0,0,137,1,1,1,29,1,0,0,0,0,0,0,244,0
715,596,153,148,29,0,1,0,0,1,460,94,0,0,137,1,1,1,29,1,0,0,0,0,0,0,589,0
716,476,133,126,13,0,0,0,0,0,5,0,0,0,113,1,1,0,91,0,0,0,0,0,0,0,148,1
717,596,153,148,29,0,1,0,0,1,279,111,0,0,137,1,1,1,29,1,0,0,0,0,0,0,542,0
718,596,153,148,29,0,1,0,0,1,278,75,0,0,137,1,1,1,29,1,0,0,0,0,0,0,8,0
719,596,153,148,29,0,1,0,0,1,294,93,0,0,137,1,1,1,29,1,0,0,0,0,0,0,231,0
720,320,95,90,6,0,0,0,0,0,145,0,0,0,32,1,1,0,92,0,0,0,0,0,0,0,484,0
721,273,85,81,4,0,0,0,0,0,135,0,0,0,25,1,1,0,75,0,0,0,0,0,0,0,375,1
722,523,139,132,15,0,0,0,0,0,11,0,0,0,128,1,1,0,74,0,0,0,0,0,0,0,218,1
723,169,64,60,5,0,0,0,0,0,114,0,0,0,103,1,1,0,113,0,0,0,0,0,0,0,163,1
724,596,153,148,29,0,1,0,0,1,457,19,0,0,137,1,1,1,29,1,0,0,0,0,0,0,287,0
725,596,153,148,29,0,1,0,0,1,277,128,0,0,137,1,1,1,29,1,0,0,0,0,0,0,568,0
726,240,77,73,6,0,0,0,0,0,127,0,1,1,107,1,1,0,49,0,0,0,0,0,0,0,276,1
727,458,131,124,15,0,0,0,0,0,3,0,0,0,39,1,1,0,137,0,0,0,0,0,0,0,572,1
728,450,130,123,14,0,0,0,0,0,2,0,0,0,105,1,1,0,59,0,0,0,0,0,0,0,52,1
729,474,133,126,13,0,0,0,0,0,5,0,0,0,113,1,1,0,91,0,0,0,0,0,0,0,148,1
730,596,153,148,29,0,1,0,0,1,26,152,0,0,137,1,1,1,29,1,0,0,0,0,0,0,558,0
731,591,151,146,29,0,0,0,0,0,8,0,0,0,59,1,1,0,67,0,0,0,0,0,0,0,103,1
732,380,109,103,7,0,0,0,0,0,159,0,0,0,71,1,1,0,139,0,0,0,0,0,0,0,527,1
733,585,148,143,29,0,0,0,0,0,5,0,0,0,106,1,1,0,16,0,0,0,0,0,0,0,149,1
734,237,77,73,3,0,0,0,0,0,127,0,0,0,107,1,1,0,49,0,0,0,0,0,0,0,276,1
735,279,87,83,3,0,0,0,0,0,137,10,0,0,61,1,1,2,71,1,0,0,1,0,0,1,525,1
736,528,139,132,14,0,0,0,0,0,11,0,0,0,128,1,1,0,74,0,0,0,0,0,0,0,218,1
737,596,153,148,29,0,1,0,0,1,159,77,0,0,137,1,1,1,29,1,0,0,0,0,0,0,418,0
738,596,153,148,29,0,1,0,0,1,303,29,0,0,137,1,1,1,29,1,0,0,0,0,0,0,265,0
739,170,64,60,6,0,0,0,0,0,114,0,1,1,103,1,1,0,113,0,0,0,0,0,0,0,163,1
740,34,32,31,2,0,0,0,0,0,82,0,0,0,54,1,1,0,52,0,0,0,0,0,0,0,598,1
741,429,128,121,9,0,0,0,0,0,0,121,0,0,120,1,1,8,60,5,0,0,6,0,0,5,23,1
742,381,110,104,6,0,0,0,0,0,160,0,0,0,118,1,1,0,40,0,0,0,0,0,0,0,55,1
743,596,153,148,29,0,1,0,0,1,270,69,0,0,137,1,1,1,29,1,0,0,0,0,0,0,196,0
744,596,153,148,29,0,1,0,0,1,30,236,0,0,137,1,1,1,29,1,0,0,0,0,0,0,212,0
745,596,153,148,29,0,1,0,0,1,322,74,0,0,137,1,1,1,29,1,0,0,0,0,0,0,468,0
746,358,104,98,6,0,0,0,0,0,154,0,0,0,75,1,1,0,100,0,0,0,0,0,0,0,574,1
747,484,134,127,16,0,0,0,0,0,6,0,1,1,69,1,1,0,46,0,0,0,0,0,0,0,34,1
748,596,153,148,29,0,1,0,0,1,389,211,0,0,137,1,1,1,29,1,0,0,0,0,0,0,295,0
749,576,144,139,29,0,0,0,0,0,1,0,0,0,38,1,1,0,57,0,0,0,0,0,0,0,556,1
750,417,123,117,8,0,0,0,0,0,173,13,0,0,55,1,1,2,15,1,0,0,1,0,0,1,194,1
751,26,26,25,0,1,2,0,0,2,76,50,0,0,153,0,0,4,151,4,0,0,2,0,0,2,335,1
752,15,15,14,0,0,0,0,0,0,65,0,1,1,136,1,1,0,72,0,0,0,0,0,0,0,51,1
753,596,153,148,29,0,1,0,0,1,409,232,0,0,137,1,1,1,29,1,0,0,0,0,0,0,513,0
754,432,128,121,9,0,0,0,0,0,0,121,0,0,120,1,1,8,60,5,0,0,6,0,0,5,23,0
755,596,153,148,29,0,1,0,0,1,254,61,0,0,137,1,1,1,29,1,0,0,0,0,0,0,470,0
756,497,136,129,15,0,0,0,0,0,8,0,0,0,58,1,1,0,144,0,0,0,0,0,0,0,102,1
757,183,67,63,4,0,0,0,0,0,117,0,0,0,145,1,1,0,89,0,0,0,0,0,0,0,147,1
758,299,91,86,5,0,0,0,0,0,141,0,0,0,148,1,1,0,93,0,0,0,0,0,0,0,101,1
759,96,47,44,3,0,0,0,0,0,97,0,1,1,23,1,1,0,102,0,0,0,0,0,0,0,453,1
760,596,153,148,29,0,1,0,0,1,435,26,0,0,137,1,1,1,29,1,0,0,0,0,0,0,565,0
761,596,153,148,29,0,1,0,0,1,323,95,0,0,137,1,1,1,29,1,0,0,0,0,0,0,493,0
762,596,153,148,29,0,1,0,0,1,184,90,0,0,137,1,1,1,29,1,0,0,0,0,0,0,98,0
763,220,73,69,4,0,0,0,0,0,123,0,0,0,56,1,1,0,38,0,0,0,0,0,0,0,397,1
764,244,78,74,6,0,0,0,0,0,128,0,1,1,33,1,1,0,5,0,0,0,0,0,0,0,192,1
765,596,153,148,29,0,1,0,0,1,169,84,0,0,137,1,1,1,29,1,0,0,0,0,0,0,502,0
766,596,153,148,29,0,1,0,0,1,200,44,0,0,137,1,1,1,29,1,0,0,0,0,0,0,512,0
767,443,130,123,16,0,0,0,0,0,2,0,1,1,105,1,1,0,59,0,0,0,0,0,0,0,52,1
768,202,70,66,2,0,0,0,0,0,120,0,0,0,92,1,1,0,73,0,0,0,0,0,0,0,331,1
769,254,80,76,3,0,0,0,0,0,130,0,0,0,46,1,1,0,142,0,0,0,0,0,0,0,144,1
770,596,153,148,29,0,1,0,0,1,327,64,0,0,137,1,1,1,29,1,0,0,0,0,0,0,304,0
771,219,73,69,6,0,0,0,0,0,123,0,1,1,56,1,1,0,38,0,0,0,0,0,0,0,397,1
772,596,153,148,29,0,1,0,0,1,58,95,0,0,137,1,1,1,29,1,0,0,0,0,0,0,416,0
773,596,153,148,29,0,1,0,0,1,227,130,0,0,137,1,1,1,29,1,0,0,0,0,0,0,387,0
774,596,153,148,29,0,1,0,0,1,258,74,0,0,137,1,1,1,29,1,0,0,0,0,0,0,308,0
775,596,153,148,29,0,1,0,0,1,416,195,0,0,137,1,1,1,29,1,0,0,0,0,0,0,566,0
776,596,153,148,29,0,1,0,0,1,443,190,0,0,137,1,1,1,29,1,0,0,0,0,0,0,450,0
777,596,153,148,29,0,1,0,0,1,206,112,0,0,137,1,1,1,29,1,0,0,0,0,0,0,391,1
778,596,153,148,29,0,1,0,0,1,170,75,0,0,137,1,1,1,29,1,0,0,0,0,0,0,31,0
779,506,137,130,13,0,0,0,0,0,9,0,0,0,150,1,1,0,143,0,0,0,0,0,0,0,106,1
780,596,153,148,29,0,1,0,0,1,224,64,0,0,137,1,1,1,29,1,0,0,0,0,0,0,57,0
