,Unnamed: 0,destination.bytes,destination.packets,event.duration,network.bytes,network.packets,source.bytes,source.packets,Binary
263,794,56,1,6310.0,132,2,74,1,0
264,351,0,0,0.0,74,1,74,1,1
265,580,0,0,0.0,74,1,74,1,1
266,134,0,0,0.0,74,1,74,1,1
267,794,56,1,8810.0,132,2,74,1,0
268,794,56,1,6890.0,132,2,74,1,0
269,471,0,0,0.0,74,1,74,1,1
270,282,0,0,0.0,74,1,74,1,1
271,201,0,0,0.0,74,1,74,1,1
272,247,0,0,0.0,74,1,74,1,1
273,794,56,1,6590.0,132,2,74,1,0
274,794,56,1,6360.0,132,2,74,1,0
275,406,0,0,0.0,74,1,74,1,1
276,794,56,1,6800.0,132,2,74,1,0
277,447,0,0,0.0,74,1,74,1,1
278,121,0,0,0.0,74,1,74,1,1
279,794,56,1,6250.0,132,2,74,1,0
280,457,0,0,0.0,74,1,74,1,1
281,399,0,0,0.0,74,1,74,1,1
282,213,0,0,0.0,74,1,74,1,1
283,559,0,0,0.0,74,1,74,1,1
284,794,56,1,6430.0,132,2,74,1,0
285,794,56,1,6490.0,132,2,74,1,0
286,616,0,0,0.0,74,1,74,1,1
287,794,56,1,6270.0,132,2,74,1,0
288,794,56,1,6190.0,132,2,74,1,0
289,791,0,0,0.0,74,1,74,1,0
290,576,0,0,0.0,74,1,74,1,0
291,558,0,0,0.0,74,1,74,1,1
292,716,0,0,15330620200.0,370,5,370,5,0
293,87,0,0,0.0,74,1,74,1,1
294,794,56,1,7140.0,132,2,74,1,0
295,187,0,0,0.0,74,1,74,1,1
296,269,0,0,0.0,74,1,74,1,1
297,794,56,1,7070.0,132,2,74,1,0
298,505,0,0,0.0,74,1,74,1,1
299,794,56,1,8220.0,132,2,74,1,0
300,728,0,0,31610901600.0,444,6,444,6,1
301,794,56,1,6380.0,132,2,74,1,0
302,736,0,0,64707347900.0,518,7,518,7,1
303,794,56,1,17710.0,132,2,74,1,0
304,662,0,0,1026257300.0,148,2,148,2,1
305,794,56,1,10860.0,132,2,74,1,0
306,625,0,0,0.0,74,1,74,1,1
307,294,0,0,0.0,74,1,74,1,1
308,99,0,0,0.0,74,1,74,1,1
309,794,56,1,7270.0,132,2,74,1,0
310,794,56,1,6310.0,132,2,74,1,0
311,560,0,0,0.0,74,1,74,1,1
312,428,0,0,1025743500.0,148,2,148,2,1
313,794,56,1,6270.0,132,2,74,1,0
314,794,56,1,6150.0,132,2,74,1,0
315,350,0,0,0.0,74,1,74,1,1
316,451,0,0,0.0,74,1,74,1,1
317,794,56,1,7340.0,132,2,74,1,0
318,297,0,0,0.0,74,1,74,1,1
319,773,0,0,0.0,74,1,74,1,1
320,609,0,0,0.0,74,1,74,1,1
321,646,0,0,0.0,74,1,74,1,1
322,632,0,0,0.0,74,1,74,1,1
323,489,0,0,0.0,74,1,74,1,1
324,794,56,1,6550.0,132,2,74,1,0
325,794,56,1,6360.0,132,2,74,1,0
326,794,56,1,6980.0,132,2,74,1,0
